Occur Date,Occur Time,Location,Crime Type,Neighborhood,Latitude,Longitude
1/1/17,12:00 AM,JESSIE HILL DR,RAPE,Downtown,0,0
1/1/17,12:00 PM,2170 CHESHIRE BRIDGE RD NE,LARCENY-NON VEHICLE,Lindridge/Martin Manor,-84.35379,33.81386
1/1/17,12:01 AM,825 LONGWOOD DR NW,AUTO THEFT,Springlake,-84.41515,33.81758
1/1/17,12:00 PM,2767 METROPOLITAN PKWY SW,LARCENY-FROM VEHICLE,Hammond Park,-84.40813,33.67925
1/1/17,8:00 AM,880 GLENWOOD AVE SE,LARCENY-NON VEHICLE,Grant Park,-84.35917,33.73991
1/1/17,12:00 PM,160 TED TURNER DR NW @ATLANTA AMERICAN MOT,LARCENY-NON VEHICLE,Downtown,-84.39009,33.75934
1/1/17,12:00 PM,2331 PAUL AVE NW,BURGLARY-RESIDENCE,Riverside,-84.47345,33.81864
1/1/17,4:00 PM,PARKWAY DR NE,RAPE,Old Fourth Ward,0,0
1/1/17,12:00 PM,4660 BROOK HOLLOW RD NW,BURGLARY-RESIDENCE,Chastain Park,-84.40464,33.8827
1/1/17,10:00 PM,234 MEMORIAL DR SW,LARCENY-NON VEHICLE,Downtown,-84.39536,33.7465
1/1/17,7:00 PM,445 MARKHAM ST SW,BURGLARY-RESIDENCE,Castleberry Hill,-84.40069,33.75274
1/1/17,9:00 PM,185 SOUTHSIDE INDUSTRIAL PKWY SE,LARCENY-FROM VEHICLE,Blair Villa/Poole Creek,-84.38283,33.65077
1/1/17,5:00 PM,NORTH TERMINAL PKWY,RAPE,Downtown,0,0
1/1/17,1:00 PM,3380 PEACHTREE RD NE,AUTO THEFT,North Buckhead,-84.36617,33.84969
1/1/17,11:00 PM,1091 EUCLID AVE NE,LARCENY-NON VEHICLE,Inman Park,-84.35097,33.7636
1/1/17,11:40 PM,1461 SYLVAN RD SW,AGG ASSAULT,Sylvan Hills,-84.41863,33.71495
1/1/17,4:00 PM,1983 HOWELL MILL RD NW,AUTO THEFT,Channing Valley,-84.41276,33.80884
1/1/17,11:00 PM,3725 PRINCETON LAKES PKWY SW,BURGLARY-RESIDENCE,Princeton Lakes,-84.50877,33.65777
1/1/17,8:00 PM,1689 LAURELWOOD DR SW,LARCENY-NON VEHICLE,Adams Park,-84.46741,33.70914
1/1/17,2:00 PM,883 DILL AVE. SW,LARCENY-FROM VEHICLE,Capitol View,-84.41709,33.71856
1/1/17,8:30 PM,800 PONCE DE LEON PL NE,LARCENY-FROM VEHICLE,Virginia Highland,-84.3638,33.77635
1/1/17,11:30 PM,1016 HOWELL MILL RD NW,LARCENY-FROM VEHICLE,Home Park,-84.41244,33.78183
1/1/17,5:00 PM,919 GREENWOOD AVE NE,AUTO THEFT,Virginia Highland,-84.35725,33.77661
1/1/17,7:00 PM,2898 ALEXANDRIA DR SW,AUTO THEFT,Deerwood,-84.51464,33.67552
1/1/17,6:00 PM,1700 ZADIE ST NW,LARCENY-FROM VEHICLE,Hills Park,-84.44437,33.80249
1/1/17,5:30 PM,3724 MILFORD PL SW,AGG ASSAULT,Cascade Green,-84.50394,33.71465
1/1/17,10:30 PM,415 ARMOUR DR NE,LARCENY-FROM VEHICLE,,-84.37412,33.81267
1/1/17,2:00 PM,3500 PEACHTREE RD NE,LARCENY-NON VEHICLE,North Buckhead,-84.36278,33.85302
1/1/17,1:00 AM,43 JESSE HILL JR DR,AUTO THEFT,Downtown,-84.38013,33.75582
1/1/17,3:30 PM,150 CARNEGIE WAY NW,LARCENY-FROM VEHICLE,Downtown,-84.38905,33.75832
1/1/17,10:35 AM,550 LINDSEY ST NW,LARCENY-NON VEHICLE,English Avenue,-84.41659,33.76968
1/1/17,7:25 PM,448 RALPH D ABERNATHY BLVD SW,AUTO THEFT,Mechanicsville,-84.40248,33.73642
1/1/17,2:30 PM,612 FOUNDRY ST NW,LARCENY-FROM VEHICLE,Vine City,-84.40771,33.75916
1/1/17,6:50 PM,730 CLEVELAND AVE SW,BURGLARY-NONRES,Hammond Park,-84.41268,33.68097
1/1/17,8:15 PM,2500 CENTER ST NW,BURGLARY-RESIDENCE,Carey Park,-84.47156,33.78999
1/1/17,8:30 PM,3655 ROSWELL RD NE,LARCENY-FROM VEHICLE,North Buckhead,-84.38135,33.85547
1/1/17,9:05 PM,1176 CHATTAHOOCHEE AVE NW,LARCENY-FROM VEHICLE,Blandtown,-84.42561,33.80058
1/1/17,9:15 PM,1728 CAMPBELLTON RD SW,AUTO THEFT,,-84.44453,33.711
1/1/17,9:00 PM,1936 PIEDMONT CIR NE,LARCENY-FROM VEHICLE,Piedmont Heights,-84.36831,33.80965
1/1/17,10:00 PM,3755 CARMIA DR SW,LARCENY-FROM VEHICLE,Princeton Lakes,-84.50908,33.65571
1/1/17,8:15 PM,1094 DECKNER AVE SW,BURGLARY-RESIDENCE,Sylvan Hills,-84.42393,33.71374
1/1/17,11:02 PM,1981 FLAT SHOALS RD SE,ROBBERY-PEDESTRIAN,East Atlanta,-84.32324,33.72602
1/1/17,11:14 PM,BECKWITH CT SW / MITCHELL ST SW,AUTO THEFT,Atlanta University Center,-84.40445,33.75389
